scenario,annual_cost_gbp,mean_hourly_cost_gbp,equivalent_full_cycles,battery_throughput_kwh,co2_avoided_kg,capacity_fade_pct,batt_deg_cost_gbp,pv_deg_cost_gbp,runtime_s,mean_step_runtime_ms,mean_lambda_batt,mean_lambda_pv,mean_supervisor_stress,pv_inverter_loss_kwh,batt_inverter_loss_kwh,cost_delta_vs_baseline_pct,efc_reduction_vs_baseline_pct
Baseline,1029.5308159468555,0.11752634885238077,291.95087365752875,1459.7543682876437,370.65890614070184,0.00556089538372646,0.19463133843042613,11.200330003917147,8.176421199998003,0.23334535388122155,,,,,,0.0,0.0
Batt-Aware,1032.8279533372374,0.11790273439922802,238.82240460116472,1194.1120230058236,327.503394220518,0.0044548412092030604,0.1559194423221071,11.200330003917147,7.852106899998034,0.22408980878989823,,,,,,0.32025630892356105,18.197742788290494
Batt+PV-Aware,1057.0266196212456,0.12066513922616959,207.96957168039316,1039.8478584019658,305.44072799515163,0.003955485691898497,0.13844199921644737,11.200330003917147,8.148593100002472,0.23255117294527602,,,,,,2.670712061115177,28.765559398753282
Adaptive-Supervisory,1055.5004137312212,0.12049091480950014,258.31553969898243,1291.577698494912,330.2835016318917,0.004739033975622582,0.16586618914679038,11.200330003917147,10.319743500000186,0.2945132277397313,0.3965288641076389,0.017095898591937927,0.4956610801345486,65.22467407778706,115.86461873287314,2.5224692046232455,11.520888270401974
