,load_kw,pv_kw_raw,price_import_gbp_per_kwh,price_export_gbp_per_kwh,ambient_c,cell_temp_c,carbon_intensity,soc,pch,pdis,pimp,pexp,pv_kw_eff,deg_cost_pv
2024-01-01 00:00:00,0.7059558052194568,0.0,0.21,0.0735,13.033271102064235,13.033271102064235,0.17,0.525,6.0,0.0,6.705955805219457,0.0,0.0,0.0
2024-01-01 00:15:00,0.6301132788504449,0.0002521153261024,0.21,0.0735,13.033271102064235,13.0396614136613,0.17,0.8099999999999999,2.8000000000000003,0.0,3.429849102061084,0.0,0.0002641767893614187,0.0
2024-01-01 00:30:00,0.812384577062283,0.0005039606807989,0.21,0.0735,13.033271102064235,13.04604488235265,0.17,0.943,0.14000000000000012,0.0,0.9518565193894498,0.0,0.0005280576728332629,0.0
2024-01-01 00:45:00,0.8632375044100254,0.0007552663817755,0.21,0.0735,13.033271102064235,13.052414672560117,0.17,0.9496499999999999,0.0070000000000014495,0.0,0.8694461442676215,0.0,0.0007913601424053897,0.0
2024-01-01 01:00:00,0.6606354635450387,0.0010057633245931,0.09,0.0315,13.033271102064235,13.0587639633528,0.1855291427061512,0.9499825,0.0003500000000000725,0.0,0.6599316611943938,0.0,0.001053802350644884,0.0
2024-01-01 01:15:00,0.7487104409996556,0.0012551832708512,0.09,0.0315,13.033271102064235,13.065085955751092,0.1855291427061512,0.9499991249999999,1.750000000022567e-05,0.0,0.7474128375875922,0.0,0.0013151034120635716,0.0
2024-01-01 01:30:00,0.9003465442180414,0.0015032591354239,0.09,0.0315,13.033271102064235,13.07137388000718,0.1855291427061512,0.9499999562499999,8.75000001343551e-07,0.0,0.8987724355147616,0.0,0.0015749837032811207,0.0
2024-01-01 01:45:00,0.8969722232278089,0.0017497252724619,0.09,0.0315,13.033271102064235,13.077621002854276,0.1855291427061512,0.9499999978125,4.374999917899913e-08,0.0,0.8951391018161418,0.0,0.0018331651616662684,0.0
2024-01-01 02:00:00,0.9534898647938292,0.0019943177598522,0.09,0.0315,13.033271102064235,13.083820634716764,0.2,0.9499999998906251,2.1874968503254877e-09,0.0,0.9514004953991885,0.0,0.00208937158213763,0.0
2024-01-01 02:15:00,0.9151237509080762,0.0022367746818332,0.09,0.0315,13.033271102064235,13.089966136873558,0.2,0.9499999999945311,1.0937695194002117e-10,0.0,0.9127804221056404,0.0,0.00234332891181275,0.0
2024-01-01 02:30:00,1.086121319960703,0.0024768364094597,0.09,0.0315,13.033271102064235,13.096050928567024,0.2,0.9499999999997266,5.466738173254271e-12,0.0,1.083526554423978,0.0,0.0025947655421916806,0.0
2024-01-01 02:45:00,1.1042655806805162,0.0027142458786209,0.09,0.0315,13.033271102064235,13.102068494049806,0.2,0.9499999999999863,2.731148640577885e-13,0.0,1.101422168082218,0.0,0.0028434125985712542,0.0
2024-01-01 03:00:00,1.0699103426605947,0.0029487488653109,0.09,0.0315,13.033271102064235,13.108012389562065,0.2124264068711928,0.9499999999999993,1.3322676295501878e-14,0.0,1.0668213384342247,0.0,0.0030890042263833546,0.0
