,load_kw,pv_kw_raw,price_import_gbp_per_kwh,price_export_gbp_per_kwh,ambient_c,cell_temp_c,carbon_intensity,soc,pch,pdis,pimp,pexp,pv_kw_eff,pv_kw_ac,deg_cost_pv,lambda_batt_t,lambda_pv_t,thermal_protection,supervisor_stress,pv_inverter_loss_kw,batt_inverter_loss_kw
2024-01-01 00:00:00,0.7059558052194568,0.0,0.21,0.0735,13.033271102064235,13.033271102064235,0.17,0.5,5.0,0.0,5.705955805219457,0.0,0.0,0.0,0.0,0.03025405956775694,0.0,0.0,0.03781757445969617,0.0,0.20000000000000018
2024-01-01 00:15:00,0.6301132788504449,0.0002521153261024,0.21,0.0735,13.033271102064235,13.0396614136613,0.17,0.728,3.440000000000001,0.0,4.069857027364765,0.0,0.00025625148568057614,0.00025625148568057614,0.0,0.22813747455085795,5.136770904249808e-06,0.0,0.2851718431885724,7.92530368084256e-06,0.13759999999999994
2024-01-01 00:30:00,0.812384577062283,0.0005039606807989,0.21,0.0735,13.033271102064235,13.04604488235265,0.17,0.884864,0.30272000000000077,0.0,1.1145923611196356,0.0,0.000512215942648265,0.000512215942648265,0.0,0.39309216015023235,1.0267788082869e-05,0.0,0.4913652001877904,1.5841730184997915e-05,0.01210880000000003
2024-01-01 00:45:00,0.8632375044100254,0.0007552663817755,0.21,0.0735,13.033271102064235,13.052414672560117,0.17,0.898668032,0.026639360000000334,0.0,0.8891092450718926,0.0,0.000767619338133228,0.000767619338133228,0.0,0.3944482382128388,1.5387558324549246e-05,0.0,0.4930602977660485,2.374080427216174e-05,0.0010655744000000154
2024-01-01 01:00:00,0.6606354635450387,0.0010057633245931,0.09,0.0315,13.033271102064235,13.0587639633528,0.1855291427061512,0.899882786816,0.0023442636800008465,0.0,0.6619575389449139,0.0,0.0010221882801255374,0.0010221882801255374,0.0,0.3776169456945344,2.049060126253941e-05,0.0,0.47202118211816796,3.161407051934656e-05,9.377054720003395e-05
2024-01-01 01:15:00,0.7487104409996556,0.0012551832708512,0.09,0.0315,13.033271102064235,13.065085955751092,0.1855291427061512,0.8999896852398079,0.00020629520384174427,0.0,0.7476410858937956,0.0,0.0012756503097016644,0.0012756503097016644,0.0,0.37996561175999083,2.5571455234569445e-05,0.0,0.4749570146999885,3.94531023619072e-05,8.25180815366977e-06
2024-01-01 01:30:00,0.9003465442180414,0.0015032591354239,0.09,0.0315,13.033271102064235,13.07137388000718,0.1855291427061512,0.8999990923011032,1.8153977936474774e-05,0.0,0.8988369640037952,0.0,0.001527734192182687,0.001527734192182687,0.0,0.3840092411791478,3.062468311935512e-05,0.0,0.4800115514739347,4.7249511098433616e-05,7.261591174589917e-07
2024-01-01 01:45:00,0.8969722232278089,0.0017497252724619,0.09,0.0315,13.033271102064235,13.077621002854276,0.1855291427061512,0.899999920122497,1.5975500611276061e-06,0.0,0.8951956505710538,0.0,0.0017781702068162802,0.0017781702068162802,0.0,0.38391925928607495,3.5644878143510774e-05,0.0,0.47989907410759364,5.499495484998819e-05,6.390200244510437e-08
2024-01-01 02:00:00,0.9534898647938292,0.0019943177598522,0.09,0.0315,13.033271102064235,13.083820634716764,0.2,0.8999999929707798,1.4058440411801598e-07,0.0,0.9514633149435598,0.0,0.002026690434673501,0.002026690434673501,0.0,0.38542639639450216,4.062666965267613e-05,0.0,0.48178299549312764,6.268114746412878e-05,5.623376164720655e-09
2024-01-01 02:15:00,0.9151237509080762,0.0022367746818332,0.09,0.0315,13.033271102064235,13.089966136873558,0.2,0.8999999993814287,1.2371426105772798e-08,0.0,0.9128507342350439,0.0,0.0022730290444583673,0.0022730290444583673,0.0,0.3844033000242154,4.556472884080347e-05,0.0,0.48050412503026924,7.029986735438256e-05,4.948570442309119e-10
2024-01-01 02:30:00,1.086121319960703,0.0024768364094597,0.09,0.0315,13.033271102064235,13.096050928567024,0.2,0.8999999999455657,1.0886869183934778e-09,0.0,1.083604398473464,0.0,0.00251692257592593,0.00251692257592593,0.0,0.3889632351989521,5.0453774431504906e-05,0.0,0.4862040439986901,7.784296626575041e-05,4.354747673573919e-11
2024-01-01 02:45:00,1.1042655806805162,0.0027142458786209,0.09,0.0315,13.033271102064235,13.102068494049806,0.2,0.8999999999952099,9.580336524095401e-11,0.0,1.1015074705557055,0.0,0.0027581102206141166,0.0027581102206141166,0.0,0.38944708215148044,5.5288578305552165e-05,0.0,0.48680885268935054,8.530237795713758e-05,3.8321346096381655e-12
2024-01-01 03:00:00,1.0699103426605947,0.0029487488653109,0.09,0.0315,13.033271102064235,13.108012389562065,0.2124264068711928,0.8999999999995785,8.431033649003439e-12,0.0,1.066914008569434,0.0,0.0029963340995918537,0.0029963340995918537,0.0,0.3885309424709492,6.0063971068565223e-05,0.0,0.4856636780886865,9.26701267915009e-05,3.372413459601382e-13
2024-01-01 03:15:00,1.1787263805452777,0.0031800942578579,0.09,0.0315,13.033271102064235,13.113876250231604,0.2124264068711928,0.8999999999999628,7.438494264988549e-13,0.0,1.175495041008088,0.0,0.003231339537933578,0.003231339537933578,0.0,0.39143270348120746,6.47748475530786e-05,0.0,0.4892908793515093,9.99383362247498e-05,2.9753977059954195e-14
2024-01-01 03:30:00,1.1432629604029334,0.0034080343258208,0.09,0.0315,13.033271102064235,13.119653796889546,0.2124264068711928,0.8999999999999968,6.439293542825908e-14,0.0,1.1398000850673642,0.0,0.0034628753356335707,0.0034628753356335707,0.0,0.39048701227741156,6.94161722492411e-05,0.0,0.48810876534676445,0.00010709923718454353,2.5757174171303682e-15
2024-01-01 03:45:00,1.04996241565545,0.0036323249852657,0.09,0.0315,13.033271102064235,13.12533884279422,0.2124264068711928,0.8999999999999998,4.440892098500626e-15,0.0,1.0462717216207762,0.0,0.003690694034678164,0.003690694034678164,0.0,0.38799899775081204,7.398298465849699e-05,0.0,0.484998747188515,0.00011414517633025244,1.776356839400252e-16
2024-01-01 04:00:00,1.1635280613779349,0.0038527260601365,0.09,0.0315,13.033271102064235,13.130925300256076,0.2219615242270663,0.9,0.0,0.0,1.1596135091959385,0.0,0.003914552181996279,0.003914552181996279,0.0,0.3910274149700783,7.847040456464476e-05,0.0,0.48878426871259784,0.0001210686241854518,0.0
2024-01-01 04:15:00,1.063697136290589,0.0040690015394419,0.09,0.0315,13.033271102064235,13.136407187156536,0.2219615242270663,0.9,0.0,0.0,1.0595629257025714,0.0,0.004134210588017628,0.004134210588017628,0.0,0.3883652569677491,8.287363721684821e-05,0.0,0.4854565712096863,0.00012786218313456596,0.0
2024-01-01 04:30:00,1.2206566223696875,0.0042809198299815,0.09,0.0315,13.033271102064235,13.141778633353802,0.2219615242270663,0.9,0.0,0.0,1.2163071877891185,0.0,0.00434943458056895,0.00434943458056895,0.0,0.3925508432631917,8.71879784191943e-05,0.0,0.4906885540789896,0.0001345185952753283,0.0
2024-01-01 04:45:00,1.1467909732613002,0.0044882540043418,0.09,0.0315,13.033271102064235,13.147033886968744,0.2219615242270663,0.9,0.0,0.0,1.1422309790074527,0.0,0.004559994253847376,0.004559994253847376,0.0,0.3905810926203014,9.140881952156825e-05,0.0,0.4882263657753767,0.00014103075011899155,0.0
2024-01-01 05:00:00,1.1346676849843838,0.0046907820438957,0.09,0.0315,13.033271102064235,13.152167320544166,0.2279555495773441,0.9,0.0,0.0,1.1299020202721703,0.0,0.004765664712213429,0.004765664712213429,0.0,0.39025780493291695,9.553165230668385e-05,0.0,0.48782225616614616,0.00014739169213031245,0.0
2024-01-01 05:15:00,1.0893839987350054,0.0048882870765458,0.09,0.0315,13.033271102064235,13.157173437070814,0.2279555495773441,0.9,0.0,0.0,1.084417772426452,0.0,0.004966226308553325,0.004966226308553325,0.0,0.3890502399662668,9.955207376825108e-05,0.0,0.4863127999578335,0.00015359462809958792,0.0
2024-01-01 05:30:00,1.2379416641189909,0.005080557608956,0.09,0.0315,13.033271102064235,13.16204687587372,0.2279555495773441,0.9,0.0,0.0,1.232780199242026,0.0,0.00516146487696496,0.00516146487696496,0.0,0.3930117777098398,0.00010346579077535714,0.0,0.4912647221372997,0.0001596329343391224,0.0
2024-01-01 05:45:00,1.1134773601672845,0.0052673877530245,0.09,0.0315,13.033271102064235,13.16678241835255,0.2279555495773441,0.9,0.0,0.0,1.1081261882077535,0.0,0.005351171959530981,0.005351171959530981,0.0,0.38969272960446094,0.00010726862461831863,0.0,0.48711591200557613,0.00016550016369683458,0.0
2024-01-01 06:00:00,1.0765026186946849,0.0054485774463533,0.21,0.0735,13.033271102064235,13.171374993569806,0.23,0.9,0.0,0.0,1.0709674736677401,0.0,0.005535145026944645,0.005535145026944645,0.0,0.40013530792709634,0.00011095651543130731,0.0,0.5001691349088704,0.0001711900523797315,0.0
2024-01-01 06:15:00,1.065249473940784,0.0056239326664807,0.21,0.0735,13.033271102064235,13.175819683680912,0.23,0.9,0.0,0.0,1.0595362862480182,0.0,0.005713187692765943,0.005713187692765943,0.0,0.3998352240669924,0.00011452552648728982,0.0,0.49979403008374046,0.00017669652658039003,0.0
2024-01-01 06:30:00,1.1175801330077064,0.0057932656386446,0.21,0.0735,13.033271102064235,13.18011172920037,0.23,0.9,0.0,0.0,1.1116950230866196,0.0,0.005885109921086917,0.005885109921086917,0.0,0.40123070830877694,0.00011797184836084883,0.0,0.5015383853859712,0.00018201370889959524,0.0
2024-01-01 06:45:00,1.0808411878214297,0.0059563950368572,0.21,0.0735,13.033271102064235,13.184246534098332,0.23,0.9,0.0,0.0,1.0747904595940314,0.0,0.006050728227398174,0.006050728227398174,0.0,0.40025100310380957,0.00012129180295471711,0.0,0.500313753879762,0.00018713592455870624,0.0
2024-01-01 07:00:00,1.059307908434485,0.0061131461780728,0.21,0.0735,13.033271102064235,13.188219670722152,0.2279555495773441,0.9,0.0,0.0,1.0530980425620353,0.0,0.006209865872449716,0.006209865872449716,0.0,0.3996767823201577,0.00012448184738587633,0.0,0.4995959779001971,0.00019205770739535218,0.0
