lambda_batt,lambda_pv,annual_cost,efc
0.0,0.0,2700.170162133947,100.99216683239064
0.0,0.5,2700.170162133947,100.99216683239064
0.0,1.0,2700.170162133947,100.99216683239064
0.5,0.0,2700.170162133947,100.99216683239064
0.5,0.5,2700.170162133947,100.99216683239064
0.5,1.0,2700.170162133947,100.99216683239064
1.0,0.0,2700.170162133947,100.99216683239064
1.0,0.5,2700.170162133947,100.99216683239064
1.0,1.0,2700.170162133947,100.99216683239064
2.0,0.0,2700.170162133947,100.99216683239064
2.0,0.5,2700.170162133947,100.99216683239064
2.0,1.0,2700.170162133947,100.99216683239064
